Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
UU2119253,10/15/2021,7:01,10/14/2021,17:07,"1004 W MAIN ST, URBANA",THEFT,REPORTED TO OTHER AGENCY
CC2134121,10/16/2021,7:04,10/15/2021,12:09,"51 E JOHN ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
IF2100811,10/16/2021,1:56,10/16/2021,1:56,BOUSFIELD RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100820,10/16/2021,0:08,10/16/2021,0:08,THIRD/ARMORY,POSS ALCOHOL/LIQ PUBLIC PROP,ADMIN CLOSED
IF2100821,10/16/2021,23:03,10/16/2021,23:03,IKENBERRY DINNING,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
IF2100822,10/16/2021,23:30,10/16/2021,23:30,ARMORY,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2108601,10/16/2021,0:46,10/16/2021,0:46,UNIVERSITY AV W / LINCOLN AV N,BREATH ALCOHOL OVER LIMIT,ARREST
II2108601,10/16/2021,0:46,10/16/2021,0:46,UNIVERSITY AV W / LINCOLN AV N,DRIVING UNDER THE INFL‐ALCOHOL,ARREST
II2108633,10/16/2021,17:53,10/13/2021,18:45,700 blk of GREGORY ST S,THEFT $500 AND UNDER,PENDING
II2108643,10/16/2021,22:23,10/16/2021,22:23,FOURTH ST S / CHALMERS ST,MIP ALCOHOL/LIQUOR,ARREST
II2108645,10/16/2021,22:43,10/16/2021,22:43,600 blk of SECOND S,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN,ARREST
II2108647,10/16/2021,22:50,10/16/2021,22:50,THIRD / DANIEL,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN,ARREST
II2108652,10/16/2021,23:30,10/16/2021,23:30,200 blk of GREEN ST E,PUBLIC URINATION (C),ARREST
II2108656,10/16/2021,23:44,10/16/2021,23:44,THIRD / DANIEL,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN,ARREST
II2108656,10/16/2021,23:44,10/16/2021,23:44,THIRD / DANIEL,DISPOSAL ON PUBLIC WAYS,ARREST
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
IT2100138,10/16/2021,0:17,10/16/2021,0:17,1400 blk of UNIVERSITY W,ILLEGAL TRANSPORTATION OF LIQUOR,ARREST
CC1210267,10/17/2021,0:00,10/14/2012,14:27,300 blk of E DANIEL ST,BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CC2134223,10/17/2021,7:02,10/16/2021,10:25,"505 STOUGHTON, CHAMPAIGN",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY
IF2100816,10/17/2021,2:01,10/17/2021,2:01,CARR RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100817,10/17/2021,0:30,10/17/2021,0:30,200 E DANIEL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100823,10/17/2021,1:45,10/17/2021,1:45,FLORIDA/LINCOLN,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100827,10/17/2021,1:10,10/17/2021,1:10,GREEN/FIFTH,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2108658,10/17/2021,0:04,10/17/2021,0:04,OAK ST S / JOHN,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN,ARREST
II2108702,10/17/2021,21:28,10/17/2021,20:40,WASSAJA RESIDENCE HALL,THEFT OVER $500,ADMIN. CLOSE
II2108748,10/17/2021,23:07,10/17/2021,22:05,500 blk of FOURTH ST S,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
CC2121478,10/18/2021,0:00,7/5/2021,18:30,1000 blk of S SECOND ST,SEXUAL‐ASSAULT‐CRIMINAL,REPORTED TO OTHER AGENCY
CSA21‐092,10/18/2021,10:30,10/10/2021,5:00,PRIVATE APARTMENT,RAPE,ADMIN CLOSED
II2108726,10/18/2021,13:34,10/14/2021,15:15,PHYSICAL PLANT SERVICES B,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE
II2108746,10/18/2021,22:09,10/13/2021,22:00,SNYDER RESIDENCE HALL,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE
03539‐2021,10/19/2021,9:58,10/17/2021,2:30,WESTON RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
CC2134451,10/19/2021,7:00,10/18/2021,13:53,"603 E CLARK ST, CHAMPAIGN",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY
CC2134476,10/19/2021,7:00,10/18/2021,16:07,"706 S FIFTH ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2134477,10/19/2021,7:00,10/18/2021,16:10,"307 E ARMORY AVE, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2134508,10/19/2021,7:00,10/18/2021,21:10,"104 E ARMORY AVE, CHAMPAIGN",BURGLARY,REPORTED TO OTHER AGENCY
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II2108759,10/19/2021,8:30,10/19/2021,8:30,CHERYL DR / GLEASON DR,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
II2108759,10/19/2021,8:30,10/19/2021,8:30,CHERYL DR / GLEASON DR,METRO ACTIVATION,ADMIN. CLOSE
II2108775,10/19/2021,14:14,9/13/2021,18:00,WILLARD AIRPORT,THEFT BY LESSEE,UNFOUNDED
II2108780,10/19/2021,16:42,10/19/2021,16:42,1700 blk of MELROSE CIRCLE,DEL/MANUF CANNABIS OVER 30 G ‐FEL,ARREST
II2108780,10/19/2021,16:42,10/19/2021,16:42,1700 blk of MELROSE CIRCLE,POSSESSION W/INTENT TO DELIVER,ARREST
II2108780,10/19/2021,16:42,10/19/2021,16:42,1700 blk of MELROSE CIRCLE,ARMED VIOLENCE,ARREST
II2108780,10/19/2021,16:42,10/19/2021,16:42,1700 blk of MELROSE CIRCLE,CONTROLLED SUBSTANCE‐POSSESSION,ARREST
II2108780,10/19/2021,16:42,10/19/2021,16:42,1700 blk of MELROSE CIRCLE,UNLAWFUL POSS/USE WEAPON BY FELON,ARREST
II2108787,10/19/2021,17:43,10/19/2021,15:43,EVANS RESIDENCE HAL,DISORDERLY CONDUCT‐ALL OTHER,STUDENT DISCIPLINE REFERRAL
UU2119507,10/19/2021,7:00,10/18/2021,15:56,"709 W CALIFORNIA AVE, URBANA",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY
CC2134592,10/20/2021,7:00,10/19/2021,16:28,"910 S THIRD ST, CHAMPAIGN",DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY
CC2134607,10/20/2021,7:00,10/19/2021,19:00,"309 E GREEN ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
IF2100844,10/20/2021,22:51,10/20/2021,22:51,GREEN ST/THIRD ST,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2108813,10/20/2021,11:50,10/6/2021,18:30,SIEBEL CENTER,THEFT $500 AND UNDER,UNFOUNDED
II2108814,10/20/2021,12:39,10/8/2021,15:00,ATKINS GOLF CLUB,CRIMINAL DAMAGE GOVT SUPPORT PROP,PENDING
II2108823,10/20/2021,15:49,10/20/2021,15:00,MCKINLEY HEALTH CENTER,THEFT‐MOTOR VEHICLE,UNFOUNDED
II2108825,10/20/2021,16:05,10/18/2021,18:00,SIEBEL CENTER,THEFT $500 AND UNDER,PENDING
OR21‐016,10/20/2021,3:46,10/7/2021,22:00,"305 E DANIEL ST, CHAMPAIGN",THEFT OVER $500,REFERRED TO OTHER JURISDICTION
CC2134680,10/21/2021,7:00,10/20/2021,14:45,"210 S FOURTH ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
CC2134684,10/21/2021,7:00,10/20/2021,15:19,"808 S OAK ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2134730,10/21/2021,7:00,10/20/2021,21:19,"101 E GREEN ST, CHAMPAIGN",MOTOR VEHICLE THEFT,REPORTED TO OTHER AGENCY
CSA21‐095,10/21/2021,8:32,9/15/2021,UNKNOWN,ON CAMPUS,STALKING,ADMIN CLOSED
CSA21‐096,10/21/2021,9:14,12/31/2019,0:01,NON‐CAMPUS PROPERTY,RAPE,ADMIN CLOSED
CSA21‐097,10/21/2021,10:34,2021,UNKNOWN,UNKNOWN LOCATION,RAPE,ADMIN CLOSED
CSA21‐098,10/21/2021,11:21,10/21/2021,7:00,SIXTH/WRIGHT,HARASSMENT,ADMIN CLOSED
IF2100843,10/21/2021,5:31,10/21/2021,5:31,FOURTH ST/ARMORY AVE,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100848,10/21/2021,20:05,10/21/2021,20:05,ILLINI UNION,CRIMINAL DAMAGE,ADMIN CLOSED
II2108862,10/21/2021,10:12,9/29/2021,14:00,VETERINARY TEACHING HOSPI,DISORDERLY CONDUCT‐ALL OTHER,ADMIN. CLOSE
II2108862,10/21/2021,10:12,9/29/2021,14:00,VETERINARY TEACHING HOSPI,VIOLATION STALKING NO CONTACT,PENDING
II2108866,10/21/2021,13:12,10/21/2021,13:12,ILLINI UNION BOOKSTORE,THEFT $500 AND UNDER,ADMIN. CLOSE
II2108881,10/21/2021,18:10,10/6/2021,11:00,ILLINI UNION,THEFT OVER $500,PENDING
II2108890,10/21/2021,20:20,10/20/2021,11:00,ILLINI UNION,THEFT $500 AND UNDER,PENDING
CC2134746,10/22/2021,7:06,10/21/2021,7:36,"616 E GREEN ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
IF2100852,10/22/2021,22:38,10/22/2021,22:38,NUGENT RESIDENCE HALL,HARASSMENT,ADMIN CLOSED
II2108904,10/22/2021,0:32,10/22/2021,0:32,THIRD ST S / JOHN ST E,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN,ARREST
II2108906,10/22/2021,0:42,10/22/2021,0:42,GREEN ST / CHESTNUT ST,DRIVING UNDER INFLUENCE‐DRUGS,ARREST
II2108908,10/22/2021,5:55,10/22/2021,5:55,1900 blk of AMBER LANE,METRO ACTIVATION,ADMIN. CLOSE
II2108926,10/22/2021,17:09,10/22/2021,17:09,00 blk of I74,DRIVING UNDER SUSPENDED LICENSE,ARREST
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II2108926,10/22/2021,17:09,10/22/2021,17:09,00 blk of I74,UNLAWFUL POSS FIREARM & AMMUNITION,ARREST
CC1210367,10/23/2021,0:00,10/17/2012,16:05,S THIRD ST / DANIEL ST,BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CC2134921,10/23/2021,7:05,10/22/2021,15:15,"102 E GREEN ST, CHAMPAIGN",CRIMINAL DAMAGE,REPORTED TO OTHER AGENCY
CC2134983,10/23/2021,7:05,10/23/2021,1:16,"106 E DANIEL ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2134984,10/23/2021,7:05,10/23/2021,1:18,"106 E DANIEL ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2134985,10/23/2021,7:05,10/23/2021,1:19,"303 CHALMERS ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2134988,10/23/2021,7:05,10/23/2021,1:26,"305 E DANIEL ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
II2108969,10/23/2021,8:01,10/23/2021,8:01,GREEN ST W / WRIGHT ST S,DRIVING UNDER SUSPENDED LICENSE,ARREST
II2108971,10/23/2021,8:09,10/8/2021,0:01,PARKING LOT B‐4,THEFT $500 AND UNDER,PENDING
II2108999,10/23/2021,23:37,10/23/2021,23:37,200 blk of GREEN ST E,MIP ALCOHOL/LIQUOR,ARREST
UU2119754,10/23/2021,7:05,10/22/2021,10:41,"GREEN ST/LINCOLN AVE, URBANA",ROBBERY,REPORTED TO OTHER AGENCY
UU2119795,10/23/2021,7:05,10/22/2021,20:23,"GREEN ST/LINCOLN AVE, URBANA",THEFT,REPORTED TO OTHER AGENCY
CC2135015,10/24/2021,7:06,10/23/2021,9:44,"106 E DANIEL ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2135020,10/24/2021,7:06,10/23/2021,9:55,"305 E DANIEL ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2135034,10/24/2021,7:06,10/23/2021,10:19,"29 E GREEN ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CC2135036,10/24/2021,7:06,10/23/2021,10:24,"409 E CHALMERS, CHAMPAIGN",IDENTITY THEFT,REPORTED TO OTHER AGENCY
CC2135099,10/24/2021,7:06,10/23/2021,20:24,"903 S FIRST ST, CHAMPAIGN",BURGLARY,REPORTED TO OTHER AGENCY
CC2135134,10/24/2021,7:06,10/24/2021,2:02,"1002 S SECOND ST, CHAMPAIGN",BURGLARY,REPORTED TO OTHER AGENCY
IF2100859,10/24/2021,1:25,10/24/2021,1:25,CLARK HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
IF2100860,10/24/2021,3:46,10/24/2021,3:46,TRELEASE RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2109008,10/24/2021,0:41,10/24/2021,0:41,GREEN STREET / CHESTNUT ST,UNLAWFUL POSS/USE WEAPON BY FELON,ARREST
II2109008,10/24/2021,0:41,10/24/2021,0:41,GREEN STREET / CHESTNUT ST,DRIVING UNDER THE INFL‐ALCOHOL,ARREST
II2109008,10/24/2021,0:41,10/24/2021,0:41,GREEN STREET / CHESTNUT ST,RESIST/OBS CORRECT/POLICE/FIRE,ARREST
II2109008,10/24/2021,0:41,10/24/2021,0:41,GREEN STREET / CHESTNUT ST,BREATH ALCOHOL OVER LIMIT,ARREST
II2109008,10/24/2021,0:41,10/24/2021,0:41,GREEN STREET / CHESTNUT ST,ILLEGAL TRANSPORTATION CANNABIS AU,ARREST
II2109008,10/24/2021,0:41,10/24/2021,0:41,GREEN STREET / CHESTNUT ST,AGGR UNLAWFUL USE OF WEAPON,ARREST
II2109008,10/24/2021,0:41,10/24/2021,0:41,GREEN STREET / CHESTNUT ST,ARMED HABITUAL CRIMINAL,ARREST
II2109024,10/24/2021,14:49,10/24/2021,14:49,1200 blk of OAK ST S,CANNABIS POSS OVER 10 ‐ 100 G ‐MISD,ARREST
II2109024,10/24/2021,14:49,10/24/2021,14:49,1200 blk of OAK ST S,DRIVING UNDER SUSPENDED LICENSE,ARREST
03627‐2021,10/25/2021,13:58,10/15/2021,23:40,OGLESBY RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
03660‐2021,10/25/2021,14:09,10/22/2021,22:35,CARR RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
03665‐2021,10/25/2021,14:12,10/23/2021,7:08,LINCOLN AVENCE RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
03666‐2021,10/25/2021,14:16,10/23/2021,2:00,SNYDER RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
03668‐2021,10/25/2021,14:21,10/23/2021,4:00,NUGENT RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
CC2135154,10/25/2021,7:02,10/24/2021,10:16,"106 E DANIEL ST, CHAMPAIGN",CRIMINAL DAMAGE,REPORTED TO OTHER AGENCY
CC2135201,10/25/2021,7:02,10/24/2021,22:44,"FIRST ST/GREEN ST, CHAMPAIGN",BATTERY,REPORTED TO OTHER AGENCY
CSA21‐100,10/25/2021,9:16,10/23/2021,18:00,QUAD,FONDLING,ADMIN CLOSED
II2109054,10/25/2021,19:20,10/25/2021,15:20,ORCHARD DOWNS,DECEPTIVE PRACTICES,PENDING
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II2109055,10/25/2021,19:38,10/23/2021,19:30,ILLINI UNION,BATTERY‐AGGRAVATED,ARREST
03695‐2021,10/26/2021,14:08,9/13/2021,0:01,"PRIVATE APARTMENT, CHAMPAIGN",SEXUAL ASSAULT,ADMIN CLOSED
CC2135248,10/26/2021,7:02,10/25/2021,9:52,"212 E GREEN ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
II2109087,10/26/2021,17:15,10/26/2021,17:15,SMALL ANIMAL CLINIC,STALKING,PENDING
UU2120019,10/26/2021,7:02,10/26/2021,3:30,"105 N BUSEY, URBANA",BURGLARY,REPORTED TO OTHER AGENCY
CSA21‐101,10/27/2021,9:24,9/1/2021,15:00,ILLINI UNION,STALKING,ADMIN CLOSED
CSA21‐102,10/27/2021,10:00,10/26/2021,15:45,SHERMAN RESIDENCE HALL,DOMESTIC VIOLENCE,ADMIN CLOSED
CC2135577,10/28/2021,0:00,10/28/2021,1:25,SIXTH ST / GREEN ST,THEFT‐MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CC2135577,10/28/2021,0:00,10/28/2021,1:25,SIXTH ST / GREEN ST,THEFT FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CSA21‐103,10/28/2021,8:51,10/27/2021,20:13,GRAINGER LIBRARY,HARASSMENT,ADMIN CLOSED
IF2100879,10/28/2021,23:39,10/28/2021,23:39,FIRST ST/CHALMERS ST,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2109162,10/28/2021,21:07,9/27/2021,19:00,400 blk of CHALMERS ST E,ASSAULT,PENDING
II2109162,10/28/2021,21:07,9/27/2021,19:00,400 blk of CHALMERS ST E,STALKING,PENDING
II2109162,10/28/2021,21:07,9/27/2021,19:00,400 blk of CHALMERS ST E,SEXUAL‐ASSAULT‐CRIMINAL,PENDING
CC2135686,10/29/2021,7:03,10/28/2021,21:06,"603 S SIXTH ST, CHAMPAIGN",TRESPASS,REPORTED TO OTHER AGENCY
CSA21‐104,10/29/2021,12:15,10/28/2021,UNKNOWN,WARDALL RESIDENCE HALL,STALKING/DOMESTIC VIOLENCE,ADMIN CLOSED
IF2100878,10/29/2021,1:17,10/29/2021,1:17,TRELEASE RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100880,10/29/2021,3:00,10/29/2021,3:00,HOPKINS RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100882,10/29/2021,23:57,10/29/2021,23:57,TRELEASE RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II2109173,10/29/2021,1:54,10/29/2021,1:54,SIXTH ST S / GREEN ST E,RESIST/OBS CORRECT/POLICE/FIRE,ARREST
II2109173,10/29/2021,1:54,10/29/2021,1:54,SIXTH ST S / GREEN ST E,BATTERY‐AGGRAVATED,ARREST
II2109174,10/29/2021,2:06,10/29/2021,2:02,ILLINOIS ST RESIDENCE HAL,METHAMPHETAMINE‐POSSESSION,STUDENT DISCIPLINE REFERRAL
II2109174,10/29/2021,2:06,10/29/2021,2:02,ILLINOIS ST RESIDENCE HAL,UNLAWFUL USE OF WEAPONS,STUDENT DISCIPLINE REFERRAL
II2109191,10/29/2021,15:34,10/29/2021,11:00,SCOTT RESIDENCE HALL,EXTORTION,PENDING
II2109197,10/29/2021,16:23,10/28/2021,8:30,PARKING LOT F‐25,CRIMINAL DAMAGE TO PROPERTY,PENDING
UU2120229,10/29/2021,7:03,10/29/2021,2:32,"808 W NEVADA ST, URBANA",MOTOR VEHICLE THEFT,REPORTED TO OTHER AGENCY
UU2120232,10/29/2021,0:00,10/29/2021,3:44,S LINCOLN AV S / FLORIDA AV W,DISORDERLY CONDUCT‐ALL OTHER,REPORTED TO OTHER AGENCY
CC2135861,10/30/2021,7:04,10/30/2021,3:00,"207 E SPRINGFIELD AVE, CHAMPAIGN",ROBBERY,REPORTED TO OTHER AGENCY
IF2100881,10/30/2021,0:34,10/30/2021,0:34,FIRST ST/CHALMERS ST,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2109219,10/30/2021,0:13,10/30/2021,0:13,FOURTH / CHALMERS,MIP ALCOHOL/LIQUOR,ARREST
II2109223,10/30/2021,1:43,10/30/2021,1:43,300 blk of GREEN ST E,ASSIST STATE POLICE,ADMIN. CLOSE
II2109240,10/30/2021,12:31,10/30/2021,12:30,STATE FARM CENTER,BURGLARY FROM MOTOR VEHICLE,ARREST
II2109253,10/30/2021,21:21,10/30/2021,17:25,ARC,THEFT OF LOST/MISLAID PROPERTY,PENDING
II2109259,10/30/2021,22:47,10/29/2021,16:00,ILLINI UNION,THEFT $500 AND UNDER,ADMIN. CLOSE
II2109259,10/30/2021,22:47,10/29/2021,16:00,ILLINI UNION,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE
UU2120261,10/30/2021,7:04,10/29/2021,13:57,"812 W NEVADA, URBANA",CRIMINAL DAMAGE,REPORTED TO OTHER AGENCY
CC2135871,10/31/2021,7:03,10/30/2021,7:04,"812 S SIXTH ST, CHAMPAIGN",DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY
CC2135878,10/31/2021,7:03,10/30/2021,7:17,"410 E GREEN ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
CC2136017,10/31/2021,7:03,10/31/2021,5:54,"211 E GREEN ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CSA21‐110,10/31/2021,22:45,10/31/2021,22:45,ALLEN RESIDENCE HALL,ARSON,ADMIN CLOSED
IF2100885,10/31/2021,0:05,10/31/2021,0:05,ILLINOIS STREET RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100888,10/31/2021,0:31,10/31/2021,0:31,SAUNDERS RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
IF2100889,10/31/2021,1:14,10/31/2021,1:14,WASSAJA RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100890,10/31/2021,1:40,10/31/2021,1:40,HOPKINS RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
