Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II2109266,10/31/2021,0:56,10/31/2021,0:56,THIRD ST / GREEN ST E,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN,ARREST
II2109267,10/31/2021,1:10,10/31/2021,1:10,100 blk of GREEN ST E,OBSTRUCTING IDENTIFICATION,ARREST
II2109270,10/31/2021,1:27,10/31/2021,1:27,RED LION,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN,ARREST
II2109289,10/31/2021,9:57,10/31/2021,2:20,WARDALL RESIDENCE HALL,DISORDERLY CONDUCT‐ALL OTHER,PENDING
II2109299,10/31/2021,17:32,10/31/2021,17:30,COORDINATED SCIENCE LAB,BURGLARY TOOLS‐POSSESSION,ARREST
II2109299,10/31/2021,17:32,10/31/2021,17:30,COORDINATED SCIENCE LAB,POSSESSION STOLEN PROPERTY,ARREST
II2109299,10/31/2021,17:32,10/31/2021,17:30,COORDINATED SCIENCE LAB,THEFT OVER $500,ARREST
UU2120323,10/31/2021,0:00,10/30/2021,16:50,RACE ST S / HOLMES ST W,DOMESTIC DISPUTE,REPORTED TO OTHER AGENCY
CC2133046,11/1/2021,0:00,10/7/2021,0:01,500 blk of E GREEN ST,SEXUAL‐ASSAULT‐CRIMINAL,REPORTED TO OTHER AGENCY
IF2100892,11/1/2021,0:15,11/1/2021,0:15,"302 E JOHN ST, CHAMPAIGN",BATTERY,ADMIN CLOSED
II2109318,11/1/2021,9:30,10/29/2021,3:20,CAMPUS INSTRUCTIONAL FACI,DISORDERLY CONDUCT‐ALL OTHER,PENDING
II2109320,11/1/2021,13:08,11/1/2021,13:05,ASHTON WOODS APARTMENTS,BATTERY‐DOMESTIC,PENDING
II2109333,11/1/2021,22:58,11/1/2021,22:58,800 blk of FIRST ST S,CARRYING ALCOHOL/LIQ OUT OF PREMISE,ARREST
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
UU2120395,11/1/2021,0:00,6/1/2021,0:01,1700 blk of MELROSE VILLAGE CR,HARASSMENT BY ELECTRONIC COMMUNICAT,REPORTED TO OTHER AGENCY
UU2120407,11/1/2021,7:02,10/31/2021,17:53,"702 W ELM ST, URBANA",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY
CC2136218,11/2/2021,0:00,10/30/2021,0:01,00 blk of UNKNOWN,SEXUAL‐ASSAULT‐CRIMINAL,REPORTED TO OTHER AGENCY
CC2136224,11/2/2021,7:01,11/1/2021,19:29,"412 E HEALEY ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
II2109342,11/2/2021,9:32,11/1/2021,20:00,LINCOLN HALL,THEFT $500 AND UNDER,ADMIN. CLOSE
II2109342,11/2/2021,9:32,11/1/2021,20:00,LINCOLN HALL,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE
CC2136327,11/3/2021,7:01,11/2/2021,22:07,"1005 S SECOND ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2136336,11/3/2021,7:01,11/2/2021,22:46,"602 STOUGHTON ST, CHAMPAIGN",CRIMINAL DAMAGE,REPORTED TO OTHER AGENCY
CSA21‐108,11/3/2021,16:23,11/1/2021,UNKNOWN,PRIVATE APARTMENT,RAPE,ADMIN CLOSED
II2109372,11/3/2021,7:23,11/3/2021,7:23,ARMORY,TRESPASS‐STATE SUPPORTED LAND,ARREST
II2109390,11/3/2021,21:56,11/3/2021,21:56,HOPKINS RESIDENCE HALL,THEFT $500 AND UNDER,PENDING
UU2120573,11/3/2021,0:00,11/3/2021,3:12,LINCOLN AVE S / FLORIDA AVE W,FAILURE TO SIGNAL,REPORTED TO OTHER AGENCY
UU2120573,11/3/2021,0:00,11/3/2021,3:12,LINCOLN AVE S / FLORIDA AVE W,ASSIST TOW TRUCK,REPORTED TO OTHER AGENCY
UU2120573,11/3/2021,0:00,11/3/2021,3:12,LINCOLN AVE S / FLORIDA AVE W,UNLAWFUL USE OF WEAPONS,REPORTED TO OTHER AGENCY
UU2120573,11/3/2021,0:00,11/3/2021,3:12,LINCOLN AVE S / FLORIDA AVE W,OPERATE UNINSURED MOTOR VEHICLE,REPORTED TO OTHER AGENCY
UU2120573,11/3/2021,0:00,11/3/2021,3:12,LINCOLN AVE S / FLORIDA AVE W,POSSESSION OF STOLEN FIREARM,REPORTED TO OTHER AGENCY
UU2120573,11/3/2021,0:00,11/3/2021,3:12,LINCOLN AVE S / FLORIDA AVE W,ILLEGAL TRANSPORTATION CANNABIS AU,REPORTED TO OTHER AGENCY
UU2120573,11/3/2021,0:00,11/3/2021,3:12,LINCOLN AVE S / FLORIDA AVE W,AGGR UNLAWFUL USE OF WEAPON,REPORTED TO OTHER AGENCY
UU2120573,11/3/2021,7:01,11/3/2021,3:17,"LINCOLN AVE/FLORIDA AVE, URBANA",UNLAWFUL POSS/STORAGE OF WEAPONS,REPORTED TO OTHER AGENCY
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
CC2136381,11/4/2021,7:18,11/3/2021,10:18,"1108 S FIRST ST, CHAMPAIGN",CRIMINAL DAMAGE,REPORTED TO OTHER AGENCY
CSA21‐109,11/4/2021,15:57,FALL 2021,UNKNOWN,ON CAMPUS,STALKING,ADMIN CLOSED
CC2136530,11/5/2021,7:03,11/4/2021,19:34,"306 E GREEN ST, CHAMPAIGN",RETAIL THEFT/BATTERY,REPORTED TO OTHER AGENCY
IF2100900,11/5/2021,3:15,11/5/2021,3:15,PARKING LOT F‐23,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
IF2100901,11/5/2021,2:16,11/5/2021,2:16,FIFTH/DANIEL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
IF2100904,11/5/2021,14:30,11/5/2021,14:30,QUAD,HARASSMENT,ADMIN CLOSED
II2109461,11/5/2021,20:43,11/5/2021,20:05,PARKING LOT E‐38,FRAUD‐CREDIT CARD,REFERRED TO OTHER JURISDICTION
II2109461,11/5/2021,20:43,11/5/2021,20:05,PARKING LOT E‐38,THEFT OVER $500,PENDING
II2109461,11/5/2021,20:43,11/5/2021,20:05,PARKING LOT E‐38,THEFT‐MOTOR VEHICLE,PENDING
CC2136677,11/6/2021,7:03,11/6/2021,1:36,"FIRST ST/GREEN ST, CHAMPAIGN",AGGRAVATED BATTERY,REPORTED TO OTHER AGENCY
II2109470,11/6/2021,1:36,11/6/2021,1:36,FIRST ST S / GREEN ST E,ASSIST OTHER POLICE DEPT,REFERRED TO OTHER JURISDICTION
IF2100908,11/7/2021,0:50,11/7/2021,0:50,WESTON RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2109503,11/7/2021,1:13,11/7/2021,1:13,FLORIDA AVE W / MARYLAND,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
II2109528,11/7/2021,22:14,11/6/2021,22:15,FIRST ST S / STADIUM DR,CRIMINAL DEFACEMENT OF PROPERTY,PENDING
II2109531,11/7/2021,23:46,11/7/2021,23:45,NUGENT RESIDENCE HALL,BATTERY‐AGGRAVATED,PENDING
UU2120799,11/7/2021,7:03,11/6/2021,22:43,"813 W MAIN ST, URBANA",DOMESTIC,REPORTED TO OTHER AGENCY
UU2120805,11/7/2021,0:00,11/7/2021,1:10,W FLORIDA AV W / GOODWIN AVE.,RECKLESS DISCHARGE OF A FIREARM,REPORTED TO OTHER AGENCY
03800‐2021,11/8/2021,14:46,10/30/2021,2:29,TOWNSEND RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
CC2136820,11/8/2021,7:02,11/7/2021,13:48,"DANIEL ST/THIRD ST, CHAMPAIGN",ATTEMPTED ROBBERY,REPORTED TO OTHER AGENCY
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II2109533,11/8/2021,1:40,11/8/2021,1:30,EVERITT LAB,CRIMINAL DAMAGE GOVT SUPPORT PROP,PENDING
II2109545,11/8/2021,12:05,11/8/2021,10:29,PUBLIC SAFETY BUILDING,HARASSMENT BY ELECTRONIC COMMUNICAT,PENDING
II2109545,11/8/2021,12:05,11/8/2021,10:29,PUBLIC SAFETY BUILDING,DISORDERLY CONDUCT‐ALL OTHER,PENDING
II2109545,11/8/2021,12:05,11/8/2021,10:29,PUBLIC SAFETY BUILDING,STALKING,PENDING
II2109548,11/8/2021,17:17,11/8/2021,17:17,WRIGHT ST / UNIVERSITY AVE,AGG FLEE/ATTEMPT ELUDE OFFICER,ADMIN. CLOSE
II2109563,11/8/2021,23:56,11/5/2021,10:00,MORRILL HALL,THEFT OF LOST/MISLAID PROPERTY,PENDING
UU2120824,11/8/2021,7:02,11/7/2021,10:37,"1103 W MIN ST, URBANA",CRIMINAL DAMAGE,REPORTED TO OTHER AGENCY
03804‐2021,11/9/2021,9:56,10/30/2021,17:30,HOPKINS RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
03952‐2021,11/9/2021,13:24,11/5/2021,2:35,WESTON RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
03981‐2021,11/9/2021,13:45,11/6/2021,1:45,SCOTT RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
03987‐2021,11/9/2021,13:48,11/6/2021,20:20,WESTON RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
CC2136902,11/9/2021,7:04,11/8/2021,12:02,"408 STOUGHTON ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CC2136937,11/9/2021,7:04,11/8/2021,16:32,"204 S FIFTH ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
II2109593,11/9/2021,14:49,11/9/2021,14:49,ACTIVITIES AND RECREATION,BATTERY,ARREST
CC2136990,11/10/2021,7:05,11/9/2021,7:23,"57 CHALMERS ST, CHAMPAIGN",CRIMINAL DAMAGE,REPORTED TO OTHER AGENCY
CC2136993,11/10/2021,7:05,11/9/2021,7:57,"803 S FIRST ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2137004,11/10/2021,7:05,11/9/2021,10:37,"515 BASH CT, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CC2137008,11/10/2021,7:05,11/9/2021,10:53,"910 S THIRD ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2137010,11/10/2021,7:05,11/9/2021,11:05,"604 CHALMERS ST, CHAMPAIGN",CRIMINAL DAMAGE,REPORTED TO OTHER AGENCY
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
CC2137046,11/10/2021,7:05,11/9/2021,16:30,"2201 S FIRST ST, CHAMPAIGN",DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY
CC2137084,11/10/2021,7:05,11/9/2021,23:51,"711 S FOURTH ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CSA21‐111,11/10/2021,16:16,8/1/2021,UNKNOWN,PRIVATE APARTMENT,RAPE,ADMIN CLOSED
II2109607,11/10/2021,7:54,11/10/2021,6:07,ACTIVITIES AND RECREATION,THEFT $500 AND UNDER,PENDING
II2109613,11/10/2021,11:19,11/1/2021,0:01,ENGLISH BUILDING,THEFT $500 AND UNDER,ADMIN. CLOSE
II2109624,11/10/2021,16:30,11/10/2021,16:20,PARKING LOT E‐14,MOTOR VEH ANTI‐THEFT LAWS (MISDEMEA,ARREST
CC2137123,11/11/2021,7:02,11/10/2021,13:08,"504 E WHITE ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CC2137142,11/11/2021,7:02,11/10/2021,15:11,"309 E HEALEY ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CSA21‐112,11/11/2021,14:09,10/27/2021,15:53,FRATERNITY,RAPE,ADMIN CLOSED
IF2100926,11/11/2021,15:30,11/11/2021,15:30,MAIN LIBRARY,HARASSMENT,ADMIN CLOSED
II2109667,11/11/2021,20:08,11/11/2021,20:08,ELECTRICAL AND COMPUTER,THEFT $500 AND UNDER,ARREST
II2109676,11/11/2021,23:50,11/11/2021,23:50,600 blk of FIFTH S,MIP ALCOHOL/LIQUOR,ARREST
CC1211206,11/12/2021,0:00,11/8/2012,21:35,400 blk of SPRINGFIELD AV E,DAMAGING PROPERTY,REPORTED TO OTHER AGENCY
CC1211206,11/12/2021,0:00,11/8/2012,21:35,400 blk of SPRINGFIELD AV E,DISORDERLY CONDUCT,REPORTED TO OTHER AGENCY
CC2137227,11/12/2021,7:01,11/11/2021,11:19,"212 E WHITE ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CSA21‐113,11/12/2021,8:58,11/7/2021,UNKNOWN,"900 BLK THIRD ST, CHAMPAIGN",RAPE,ADMIN CLOSED
IF2100928,11/12/2021,3:13,11/12/2021,3:13,FLAGG HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
CC2137315,11/13/2021,7:01,11/12/2021,8:11,"204 S FIFTH ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CC2137318,11/13/2021,7:01,11/12/2021,8:32,"408 E WHITE ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
CC2137397,11/13/2021,7:01,11/12/2021,19:38,"211 E GREEN ST, CHAMPAIGN",BATTERY,REPORTED TO OTHER AGENCY
II2109737,11/13/2021,21:57,11/13/2021,21:57,300 blk of SPRINGFIELD E,RESIST/OBS CORRECT/POLICE/FIRE,ARREST
II2109737,11/13/2021,21:57,11/13/2021,21:57,300 blk of SPRINGFIELD E,ILLEGAL TRANSPORTATION CANNABIS AU,ARREST
II2109737,11/13/2021,21:57,11/13/2021,21:57,300 blk of SPRINGFIELD E,AGGR UNLAWFUL USE OF WEAPON,ARREST
UU2121085,11/13/2021,7:01,11/12/2021,9:43,"901 WESTERN AVE, URBANA",THEFT,REPORTED TO OTHER AGENCY
CC2137530,11/14/2021,7:05,11/13/2021,23:50,"211 E GREEN ST, CHAMPAIGN",BATTERY,REPORTED TO OTHER AGENCY
CC2137535,11/14/2021,0:00,11/14/2021,0:30,500 blk of SPRINGFIELD AV E,BATTERY‐DOMESTIC,REPORTED TO OTHER AGENCY
CSA21‐115,11/14/2021,11:50,11/10/2021,UNKNOWN,FOREIGN LANGUAGES BUILDING,STALKING,ADMIN CLOSED
II2109745,11/14/2021,1:43,11/14/2021,1:39,SMOKE STATION 999,DRIVING UNDER THE INFL‐ALCOHOL,ARREST
II2109760,11/14/2021,17:12,11/14/2021,14:30,GRAINGER ENGINEERING LIBR,THEFT $500 AND UNDER,PENDING
II2109765,11/14/2021,17:49,11/14/2021,17:00,SMALL ANIMAL CLINIC,DISORDERLY CONDUCT‐ALL OTHER,PENDING
II2109765,11/14/2021,17:49,11/14/2021,17:00,SMALL ANIMAL CLINIC,ASSAULT‐AGGRAVATED,PENDING
II2109765,11/14/2021,17:49,11/14/2021,17:00,SMALL ANIMAL CLINIC,BATTERY‐AGGRAVATED,ARREST
UU2121147,11/14/2021,7:05,11/13/2021,13:58,"709 W GREEN ST, URBANA",THEFT,REPORTED TO OTHER AGENCY
CC2137622,11/15/2021,7:03,11/14/2021,19:00,"51 E JOHN ST, CHAMPAIGN",HARASSMENT,REPORTED TO OTHER AGENCY
CSA21‐114,11/15/2021,8:31,9/1/2021,UNKNOWN,RESIDENCE HALL,RAPE,ADMIN CLOSED
IF2100941,11/15/2021,6:00,11/15/2021,6:00,601 S GOODWIN AVE,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
II2109811,11/15/2021,23:27,11/15/2021,19:00,ARC,THEFT $500 AND UNDER,ADMIN. CLOSE
04067‐2021,11/16/2021,10:03,11/13/2021,1:38,TOWNSEND RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
04076‐2021,11/16/2021,10:09,11/13/2021,0:40,SCOTT RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
CC2137730,11/16/2021,7:01,11/15/2021,18:22,"507 S FOURTH ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
II2109827,11/16/2021,12:13,11/16/2021,12:12,CLARK HALL,CRIMINAL DAMAGE TO PROPERTY,PENDING
II2109848,11/16/2021,9:48,11/16/2021,9:48,MAIN STREET W / UNIVERSITY,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
CC2137842,11/17/2021,7:00,11/16/2021,18:09,"406 STOUGHTON ST, CHAMPAIGN",ROBBERY,REPORTED TO OTHER AGENCY
CC2137859,11/17/2021,7:00,11/16/2021,20:25,"901 S SECOND ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2137862,11/17/2021,7:00,11/16/2021,20:54,"112 E GREEN ST, CHAMPAIGN",CRIMINAL DAMAGE,REPORTED TO OTHER AGENCY
CC2137867,11/17/2021,7:00,11/16/2021,22:21,"201 STOUGHTON ST, CHAMPAIGN",DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY
CC2137875,11/17/2021,7:00,11/16/2021,23:12,"600 BLK GREEN ST, CHAMPAIGN",ATTEMPTED ROBBERY,REPORTED TO OTHER AGENCY
CC2137878,11/17/2021,7:00,11/16/2021,23:20,"908 LOCUST ST, CHAMPAIGN",DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY
CC2137953,11/18/2021,7:04,11/17/2021,15:28,"210 S FOURTH ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CSA21‐116,11/18/2021,13:55,11/10/2021,13:30,IKENBERRY DINING HALL,STALKING,ADMIN CLOSED
CSA21‐117,11/18/2021,15:16,FALL 2021,UNKNOWN,SCOTT RESIDENCE HALL,FONDLING,ADMIN CLOSED
II2109902,11/18/2021,15:18,11/18/2021,10:15,CAMPUS RECREATION CENTER,THEFT $500 AND UNDER,ADMIN. CLOSE
II2109916,11/18/2021,23:53,11/18/2021,23:53,POST OFFICE,PUBLIC URINATION (C),ARREST
CC2138037,11/19/2021,7:00,11/18/2021,7:48,"102 E GREEN ST, CHAMPAIGN",DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY
CC2138069,11/19/2021,7:00,11/18/2021,13:04,"112 E GREEN ST, CHAMPAIGN",AGGRAVATED ASSAULT,REPORTED TO OTHER AGENCY
CC2138128,11/19/2021,7:00,11/19/2021,0:50,"211 E GREEN ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CSA21‐118,11/19/2021,16:02,8/27/2021,15:12,FRATERNITY,AGGRAVATED ASSAULT,ADMIN CLOSED
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
CSA21‐119,11/19/2021,16:05,10/21/2021,8:52,ON CAMPUS,STALKING,ADMIN CLOSED
CSA21‐120,11/19/2021,16:09,8/28/2021,2:45,UNKNOWN LOCATION,RAPE,ADMIN CLOSED
II2109928,11/19/2021,11:30,3/17/2021,13:00,ORCHARD DOWNS APARTMENTS,HARASSMENT BY ELECTRONIC COMMUNICAT,PENDING
UU2121476,11/19/2021,7:00,11/18/2021,21:39,"410 N LINCOLN AVE, URBANA",THEFT,REPORTED TO OTHER AGENCY
UU2121478,11/19/2021,7:00,11/18/2021,22:26,"702 W ELM ST, URBANA",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY
CC2138152,11/20/2021,7:01,11/19/2021,8:38,"308 E DANIEL ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
II2109962,11/20/2021,1:42,11/20/2021,1:42,SECOND ST S / DANIELS ST E,ILLEGAL TRANSPORTATION OF LIQUOR,ARREST
II2109962,11/20/2021,1:42,11/20/2021,1:42,SECOND ST S / DANIELS ST E,BREATH ALCOHOL OVER LIMIT,ARREST
II2109962,11/20/2021,1:42,11/20/2021,1:42,SECOND ST S / DANIELS ST E,DRIVING UNDER THE INFL‐ALCOHOL,ARREST
CC2138257,11/21/2021,7:02,11/20/2021,9:26,"108 E DANIEL ST, CHAMPAIGN",BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CC2138292,11/21/2021,7:02,11/20/2021,16:01,"312 E DANIEL ST, CHAMPAIGN",MOTOR VEHICLE THEFT,REPORTED TO OTHER AGENCY
II2109991,11/21/2021,1:30,11/21/2021,1:30,WILLIAM ST / RANDOLPH ST S,AGGR UNLAWFUL USE OF WEAPON,ARREST
II2110016,11/21/2021,21:21,11/21/2021,21:21,FIFTH ST N / UNIVERSITY AVE,FLEEING OR ATTEMPT TO ELUDE POLICE,ARREST
II2110016,11/21/2021,21:21,11/21/2021,21:21,FIFTH ST N / UNIVERSITY AVE,DRIVING UNDER SUSPENDED LICENSE,ARREST
II2110016,11/21/2021,21:21,11/21/2021,21:21,FIFTH ST N / UNIVERSITY AVE,RESIST/OBS CORRECT/POLICE/FIRE,ARREST
IF2100964,11/22/2021,2:39,11/22/2021,2:39,ILLINI UNION,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2109786,11/22/2021,14:24,10/22/2021,12:31,IFSI,THEFT $500 AND UNDER,PENDING
II2110024,11/22/2021,1:02,11/19/2021,22:00,CAMPUS INSTRUCTIONAL FAC,CRIMINAL DAMAGE GOVT SUPPORT PROP,PENDING
II2110039,11/22/2021,14:58,11/20/2021,12:00,SHERMAN RESIDENCE HALL,THEFT $500 AND UNDER,PENDING
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II2110047,11/22/2021,20:49,11/22/2021,20:49,CHURCH W / DUNLAP,BREATH ALCOHOL OVER LIMIT,ARREST
II2110047,11/22/2021,20:49,11/22/2021,20:49,CHURCH W / DUNLAP,DRIVING UNDER THE INFL‐ALCOHOL,ARREST
CC2138433,11/23/2021,7:07,11/22/2021,7:43,"SECOND ST/WHITE ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2138578,11/24/2021,7:27,11/23/2021,15:49,"HEALEY ST/FOURTH ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2138589,11/24/2021,7:27,11/23/2021,18:06,"604 S FIRST ST, CHAMPAIGN",BURGLARY,REPORTED TO OTHER AGENCY
UU2121704,11/24/2021,7:27,11/23/2021,10:56,"1001 CLARK ST, URBANA",DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY
