iid,id,gender,idg,condtn,wave,round,position,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_attractiveness,pf_o_sincerity,pf_o_intelligence,pf_o_fun,pf_o_ambition,pf_o_sharedinterests,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,race,imprace,imprelig,goal,date,go_out,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es
234,1,0,1,1,10,9,8,7,1,243,0,0.43,0,27,2,20,20,20,25,5,10,1,6,9,7,7,8,,7,7,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,4,8,9,7,8,2,5,2,0,1
234,1,0,1,1,10,9,8,4,2,244,0,0.46,0,28,2,20,20,20,10,10,20,0,6,8,9,8,9,3,3,2,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,1,7,8,8,7,9,5,7,4,0,1
234,1,0,1,1,10,9,8,6,3,245,0,0.05,0,32,2,18,10,30,10,10,22,1,8,7,6,6,,5,7,3,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,4,6,10,6,6,7,6,2,0,1
234,1,0,1,1,10,9,8,2,4,246,0,0.44,0,25,2,35,20,10,20,10,5,0,3,6,7,,,,5,5,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,4,8,7,5,6,2,4,1,,1
234,1,0,1,1,10,9,8,9,5,247,0,-0.2,0,25,4,20,30,10,15,0,25,1,3,7,5,5,4,4,6,6,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,3,7,9,2,9,,,1,0,1
234,1,0,1,1,10,9,8,3,6,248,0,0.23,1,27,6,25,15,20,20,15,5,0,5,7,8,6,7,3,7,4,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,5,6,6,8,6,2,6,3,0,1
234,1,0,1,1,10,9,8,5,7,249,0,0.3,1,33,6,22,22,15,15,5,21,1,9,9,8,9,7,9,9,8,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,4,8,7,8,9,8,7,5,0,1
234,1,0,1,1,10,9,8,1,8,250,0,0.66,1,25,6,20,20,20,20,10,10,0,5,10,6,7,7,4,5,6,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,1,7,5,8,5,8,7,5,3,0,1
234,1,0,1,1,10,9,8,8,9,251,0,-0.12,1,33,6,19,19,19,19,19,5,0,8,8,8,6,9,,7,4,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,1,5,8,7,4,,5,6,4,0,1
235,2,0,3,1,10,9,1,9,1,243,1,0.33,1,27,2,20,20,20,25,5,10,1,8,8,8,8,,,8,7,2,23,elementary education,9,2,3,1,1,4,3,5,15,15,20,20,20,10,1,6,6,6,5,5,5,5,3,0,1
235,2,0,3,1,10,9,1,6,2,244,0,0.01,1,28,2,20,20,20,10,10,20,1,9,9,7,8,8,5,6,4,2,23,elementary education,9,2,3,1,1,4,3,5,15,15,20,20,20,10,0,6,7,7,6,7,6,6,4,0,1
235,2,0,3,1,10,9,1,8,3,245,0,0.43,1,32,2,18,10,30,10,10,22,0,7,6,6,5,4,4,6,4,2,23,elementary education,9,2,3,1,1,4,3,5,15,15,20,20,20,10,0,2,6,8,4,8,3,3,2,0,1
235,2,0,3,1,10,9,1,4,4,246,0,0.44,1,25,2,35,20,10,20,10,5,1,6,3,5,5,,4,4,3,2,23,elementary education,9,2,3,1,1,4,3,5,15,15,20,20,20,10,0,3,7,5,4,4,4,3,2,0,1
235,2,0,3,1,10,9,1,2,5,247,0,-0.63,0,25,4,20,30,10,15,0,25,1,8,7,7,7,2,3,7,6,2,23,elementary education,9,2,3,1,1,4,3,5,15,15,20,20,20,10,0,3,8,7,5,5,2,4,3,0,1
235,2,0,3,1,10,9,1,5,6,248,1,0.04,0,27,6,25,15,20,20,15,5,1,7,8,6,8,6,4,8,6,2,23,elementary education,9,2,3,1,1,4,3,5,15,15,20,20,20,10,1,7,6,6,8,7,7,7,4,0,1
235,2,0,3,1,10,9,1,7,7,249,0,0.31,0,33,6,22,22,15,15,5,21,1,9,8,9,9,6,7,9,8,2,23,elementary education,9,2,3,1,1,4,3,5,15,15,20,20,20,10,0,2,5,5,2,5,2,2,2,0,1
235,2,0,3,1,10,9,1,3,8,250,0,0.65,0,25,6,20,20,20,20,10,10,1,9,10,7,9,7,7,9,9,2,23,elementary education,9,2,3,1,1,4,3,5,15,15,20,20,20,10,0,3,7,7,6,9,5,5,4,0,1
235,2,0,3,1,10,9,1,1,9,251,0,0.11,0,33,6,19,19,19,19,19,5,1,8,9,8,8,8,,8,8,2,23,elementary education,9,2,3,1,1,4,3,5,15,15,20,20,20,10,0,5,9,8,7,8,5,5,6,0,1
236,3,0,5,1,10,9,2,1,1,243,0,0.06,0,27,2,20,20,20,25,5,10,0,6,8,8,5,,,6,5,2,24,Biology,10,4,3,3,2,7,1,7,15,20,15,20,15,15,1,6,7,8,6,7,5,7,7,0,4
236,3,0,5,1,10,9,2,7,2,244,0,0.07,0,28,2,20,20,20,10,10,20,0,4,6,7,2,2,1,4,2,2,24,Biology,10,4,3,3,2,7,1,7,15,20,15,20,15,15,1,7,7,7,9,9,9,8,8,0,4
236,3,0,5,1,10,9,2,9,3,245,0,0.19,0,32,2,18,10,30,10,10,22,1,9,7,8,6,6,5,8,2,2,24,Biology,10,4,3,3,2,7,1,7,15,20,15,20,15,15,0,4,6,9,3,9,5,7,7,0,4
236,3,0,5,1,10,9,2,5,4,246,0,0.26,0,25,2,35,20,10,20,10,5,0,2,3,,2,,4,4,3,2,24,Biology,10,4,3,3,2,7,1,7,15,20,15,20,15,15,0,4,7,5,5,7,7,6,6,0,4
236,3,0,5,1,10,9,2,3,5,247,0,-0.14,1,25,4,20,30,10,15,0,25,0,7,7,5,3,7,3,3,3,2,24,Biology,10,4,3,3,2,7,1,7,15,20,15,20,15,15,0,3,7,7,4,7,3,6,7,0,4
236,3,0,5,1,10,9,2,6,6,248,0,-0.03,0,27,6,25,15,20,20,15,5,0,6,6,9,6,7,4,6,4,2,24,Biology,10,4,3,3,2,7,1,7,15,20,15,20,15,15,1,7,5,6,8,9,6,7,7,0,4
236,3,0,5,1,10,9,2,8,7,249,0,0.47,0,33,6,22,22,15,15,5,21,0,9,9,9,6,7,5,7,6,2,24,Biology,10,4,3,3,2,7,1,7,15,20,15,20,15,15,0,4,7,7,5,9,4,5,6,0,4
236,3,0,5,1,10,9,2,4,8,250,0,0.39,0,25,6,20,20,20,20,10,10,0,3,8,5,4,4,4,4,6,2,24,Biology,10,4,3,3,2,7,1,7,15,20,15,20,15,15,1,7,6,7,6,7,8,7,8,0,4
236,3,0,5,1,10,9,2,2,9,251,0,0.39,0,33,6,19,19,19,19,19,5,0,4,8,7,3,8,,3,6,2,24,Biology,10,4,3,3,2,7,1,7,15,20,15,20,15,15,0,5,6,6,7,5,5,7,7,0,4
237,4,0,7,1,10,9,3,2,1,243,0,0.38,1,27,2,20,20,20,25,5,10,1,7,8,7,8,7,,7,6,2,34,American Studies,7,2,10,1,3,7,4,4,10,20,20,20,20,10,0,4,2,4,2,1,0,2,0,0,0
237,4,0,7,1,10,9,3,8,2,244,0,0.73,1,28,2,20,20,20,10,10,20,0,2,6,8,4,3,1,3,7,2,34,American Studies,7,2,10,1,3,7,4,4,10,20,20,20,20,10,1,7,8,6,6,7,5,6,6,,0
237,4,0,7,1,10,9,3,1,3,245,0,0.31,1,32,2,18,10,30,10,10,22,0,7,8,6,6,,,6,4,2,34,American Studies,7,2,10,1,3,7,4,4,10,20,20,20,20,10,1,6,8,9,8,10,,7,7,0,0
237,4,0,7,1,10,9,3,6,4,246,0,0.24,1,25,2,35,20,10,20,10,5,0,3,7,7,4,,5,5,3,2,34,American Studies,7,2,10,1,3,7,4,4,10,20,20,20,20,10,0,2,6,5,2,3,2,3,2,,0
237,4,0,7,1,10,9,3,4,5,247,0,0.27,0,25,4,20,30,10,15,0,25,1,5,6,8,5,6,3,6,6,2,34,American Studies,7,2,10,1,3,7,4,4,10,20,20,20,20,10,0,6,9,8,6,8,2,5,5,,0
237,4,0,7,1,10,9,3,7,6,248,0,0.15,0,27,6,25,15,20,20,15,5,0,6,7,7,6,6,3,6,4,2,34,American Studies,7,2,10,1,3,7,4,4,10,20,20,20,20,10,1,7,8,7,6,6,8,7,6,2,0
237,4,0,7,1,10,9,3,9,7,249,0,-0.09,0,33,6,22,22,15,15,5,21,0,6,9,8,7,8,6,2,6,2,34,American Studies,7,2,10,1,3,7,4,4,10,20,20,20,20,10,0,3,7,8,4,3,2,2,0,,0
237,4,0,7,1,10,9,3,5,8,250,1,0.6,0,25,6,20,20,20,20,10,10,1,6,10,8,7,7,6,6,9,2,34,American Studies,7,2,10,1,3,7,4,4,10,20,20,20,20,10,1,6,8,10,8,10,9,8,9,,0
237,4,0,7,1,10,9,3,3,9,251,0,0.14,0,33,6,19,19,19,19,19,5,0,6,8,8,6,,,6,6,2,34,American Studies,7,2,10,1,3,7,4,4,10,20,20,20,20,10,0,2,10,10,5,,,5,4,,0
238,5,0,9,1,10,9,7,6,1,243,0,0.28,1,27,2,20,20,20,25,5,10,0,6,7,6,5,8,,6,5,2,27,Arts Administration,15,2,3,5,1,2,1,5,15,20,20,15,15,15,1,8,8,9,8,9,7,7,7,0,2
238,5,0,9,1,10,9,7,3,2,244,1,0.18,1,28,2,20,20,20,10,10,20,1,8,8,8,8,9,7,8,5,2,27,Arts Administration,15,2,3,5,1,2,1,5,15,20,20,15,15,15,1,8,9,9,8,9,8,8,7,0,2
238,5,0,9,1,10,9,7,5,3,245,0,0.26,1,32,2,18,10,30,10,10,22,0,6,7,6,6,6,4,5,5,2,27,Arts Administration,15,2,3,5,1,2,1,5,15,20,20,15,15,15,1,8,9,10,9,10,8,7,8,0,2
238,5,0,9,1,10,9,7,1,4,246,0,0.46,1,25,2,35,20,10,20,10,5,1,6,6,7,,,5,7,3,2,27,Arts Administration,15,2,3,5,1,2,1,5,15,20,20,15,15,15,0,7,9,9,9,10,6,7,8,0,2
238,5,0,9,1,10,9,7,8,5,247,0,-0.14,0,25,4,20,30,10,15,0,25,1,6,7,7,6,5,3,6,5,2,27,Arts Administration,15,2,3,5,1,2,1,5,15,20,20,15,15,15,0,5,8,8,5,7,5,6,6,0,2
238,5,0,9,1,10,9,7,2,6,248,0,0.14,0,27,6,25,15,20,20,15,5,0,6,8,7,7,6,3,7,5,2,27,Arts Administration,15,2,3,5,1,2,1,5,15,20,20,15,15,15,1,9,8,9,8,9,7,8,7,0,2
238,5,0,9,1,10,9,7,4,7,249,0,0.2,0,33,6,22,22,15,15,5,21,1,9,9,8,9,8,9,9,8,1,27,Arts Administration,15,2,3,5,1,2,1,5,15,20,20,15,15,15,0,6,8,9,8,10,6,7,6,0,2
238,5,0,9,1,10,9,7,9,8,250,1,0.81,0,25,6,20,20,20,20,10,10,1,8,8,8,9,7,8,8,9,2,27,Arts Administration,15,2,3,5,1,2,1,5,15,20,20,15,15,15,1,9,8,9,9,10,10,9,8,0,2
238,5,0,9,1,10,9,7,7,9,251,0,0.03,0,33,6,19,19,19,19,19,5,0,5,8,7,4,8,8,5,6,2,27,Arts Administration,15,2,3,5,1,2,1,5,15,20,20,15,15,15,0,6,8,8,6,7,6,6,6,0,2
239,6,0,11,1,10,9,6,5,1,243,0,0.28,1,27,2,20,20,20,25,5,10,0,6,9,7,6,9,,6,6,2,34,Conservation biology,10,2,6,6,2,6,3,7,10,25,20,20,5,20,1,7,9,9,6,6,8,8,,0,1
239,6,0,11,1,10,9,6,2,2,244,0,0.66,1,28,2,20,20,20,10,10,20,0,6,8,9,3,6,3,3,2,2,34,Conservation biology,10,2,6,6,2,6,3,7,10,25,20,20,5,20,0,7,6,6,7,8,7,6,2,0,1
239,6,0,11,1,10,9,6,4,3,245,1,0.54,1,32,2,18,10,30,10,10,22,1,6,8,8,6,5,3,7,,2,34,Conservation biology,10,2,6,6,2,6,3,7,10,25,20,20,5,20,1,7,6,9,8,7,7,8,6,0,1
239,6,0,11,1,10,9,6,9,4,246,0,0.52,1,25,2,35,20,10,20,10,5,1,5,5,6,5,,6,6,5,,34,Conservation biology,10,2,6,6,2,6,3,7,10,25,20,20,5,20,0,5,9,7,7,5,6,7,6,0,1
239,6,0,11,1,10,9,6,7,5,247,0,0.02,0,25,4,20,30,10,15,0,25,1,5,8,6,5,4,7,7,7,2,34,Conservation biology,10,2,6,6,2,6,3,7,10,25,20,20,5,20,0,6,8,8,5,6,7,6,7,0,1
239,6,0,11,1,10,9,6,1,6,248,0,0.15,0,27,6,25,15,20,20,15,5,0,6,7,8,6,3,4,6,4,2,34,Conservation biology,10,2,6,6,2,6,3,7,10,25,20,20,5,20,1,8,8,7,8,9,6,8,4,0,1
239,6,0,11,1,10,9,6,3,7,249,0,0.32,0,33,6,22,22,15,15,5,21,0,6,7,6,5,5,5,6,4,2,34,Conservation biology,10,2,6,6,2,6,3,7,10,25,20,20,5,20,0,6,8,8,6,8,5,6,7,0,1
239,6,0,11,1,10,9,6,8,8,250,0,0.6,0,25,6,20,20,20,20,10,10,0,5,8,7,6,6,5,5,9,2,34,Conservation biology,10,2,6,6,2,6,3,7,10,25,20,20,5,20,1,7,8,9,7,8,7,7,5,0,1
239,6,0,11,1,10,9,6,6,9,251,0,0.37,0,33,6,19,19,19,19,19,5,0,7,8,8,6,6,,7,6,2,34,Conservation biology,10,2,6,6,2,6,3,7,10,25,20,20,5,20,0,5,7,8,6,6,7,6,6,0,1
240,7,0,13,1,10,9,5,4,1,243,0,0.09,0,27,2,20,20,20,25,5,10,0,7,7,7,9,9,,7,7,2,26,MBA,8,4,1,1,1,6,3,2,10,30,30,10,10,10,1,7,7,7,7,5,7,7,4,0,1
240,7,0,13,1,10,9,5,1,2,244,0,-0.31,0,28,2,20,20,20,10,10,20,0,8,6,8,10,9,2,3,3,2,26,MBA,8,4,1,1,1,6,3,2,10,30,30,10,10,10,1,7,7,6,6,5,5,6,6,0,1
240,7,0,13,1,10,9,5,3,3,245,0,0.18,0,32,2,18,10,30,10,10,22,1,8,7,8,7,7,4,8,3,2,26,MBA,8,4,1,1,1,6,3,2,10,30,30,10,10,10,0,5,7,6,5,6,3,6,4,0,1
240,7,0,13,1,10,9,5,8,4,246,0,-0.25,0,25,2,35,20,10,20,10,5,1,5,7,7,7,5,5,7,6,,26,MBA,8,4,1,1,1,6,3,2,10,30,30,10,10,10,0,4,4,4,5,5,4,5,2,0,1
240,7,0,13,1,10,9,5,6,5,247,0,-0.06,1,25,4,20,30,10,15,0,25,1,6,6,4,8,3,4,7,7,2,26,MBA,8,4,1,1,1,6,3,2,10,30,30,10,10,10,0,4,5,5,4,7,3,4,2,0,1
240,7,0,13,1,10,9,5,9,6,248,0,0.09,0,27,6,25,15,20,20,15,5,1,6,7,7,8,7,5,7,6,2,26,MBA,8,4,1,1,1,6,3,2,10,30,30,10,10,10,0,5,4,5,7,6,5,6,4,0,1
240,7,0,13,1,10,9,5,2,7,249,0,-0.18,0,33,6,22,22,15,15,5,21,1,8,9,8,10,9,10,9,6,2,26,MBA,8,4,1,1,1,6,3,2,10,30,30,10,10,10,0,5,5,6,5,7,6,6,3,0,1
240,7,0,13,1,10,9,5,7,8,250,1,-0.38,0,25,6,20,20,20,20,10,10,1,6,7,7,8,9,7,7,10,2,26,MBA,8,4,1,1,1,6,3,2,10,30,30,10,10,10,1,7,5,5,6,5,7,6,5,0,1
240,7,0,13,1,10,9,5,5,9,251,0,0.28,0,33,6,19,19,19,19,19,5,0,7,8,7,5,8,,5,6,2,26,MBA,8,4,1,1,1,6,3,2,10,30,30,10,10,10,0,5,5,5,4,4,3,5,2,0,1
241,8,0,15,1,10,9,9,8,1,243,1,0.51,0,27,2,20,20,20,25,5,10,1,7,7,6,8,,,7,7,2,29,Business,8,4,1,1,2,4,2,2,90,2,2,2,2,2,1,5,6,8,7,6,6,7,7,0,2
241,8,0,15,1,10,9,9,5,2,244,0,0,0,28,2,20,20,20,10,10,20,1,8,9,9,9,9,7,7,5,2,29,Business,8,4,1,1,2,4,2,2,90,2,2,2,2,2,0,5,7,8,6,7,5,6,6,0,2
241,8,0,15,1,10,9,9,7,3,245,0,0.11,0,32,2,18,10,30,10,10,22,1,9,8,7,7,6,4,8,4,2,29,Business,8,4,1,1,2,4,2,2,90,2,2,2,2,2,0,4,7,10,7,8,5,6,4,0,2
241,8,0,15,1,10,9,9,3,4,246,0,0.14,0,25,2,35,20,10,20,10,5,1,8,5,6,7,,5,5,5,2,29,Business,8,4,1,1,2,4,2,2,90,2,2,2,2,2,0,4,9,8,6,6,4,6,5,0,2
241,8,0,15,1,10,9,9,1,5,247,0,-0.15,1,25,4,20,30,10,15,0,25,1,5,6,5,5,4,3,5,6,2,29,Business,8,4,1,1,2,4,2,2,90,2,2,2,2,2,0,5,10,10,9,6,7,8,6,0,2
241,8,0,15,1,10,9,9,4,6,248,1,0.17,0,27,6,25,15,20,20,15,5,1,6,7,7,8,7,5,7,6,2,29,Business,8,4,1,1,2,4,2,2,90,2,2,2,2,2,1,10,6,8,9,7,5,7,6,0,2
241,8,0,15,1,10,9,9,6,7,249,0,0.19,0,33,6,22,22,15,15,5,21,1,2,9,7,9,9,9,8,7,2,29,Business,8,4,1,1,2,4,2,2,90,2,2,2,2,2,0,5,8,9,6,10,5,6,6,0,2
241,8,0,15,1,10,9,9,2,8,250,1,0.76,0,25,6,20,20,20,20,10,10,1,8,10,8,8,8,8,8,9,2,29,Business,8,4,1,1,2,4,2,2,90,2,2,2,2,2,1,8,6,10,9,10,9,8,7,0,2
241,8,0,15,1,10,9,9,9,9,251,0,-0.01,0,33,6,19,19,19,19,19,5,0,7,8,7,6,7,,7,5,2,29,Business,8,4,1,1,2,4,2,2,90,2,2,2,2,2,0,7,7,9,6,8,5,6,4,0,2
242,9,0,17,1,10,9,4,3,1,243,1,0.31,0,27,2,20,20,20,25,5,10,1,7,8,8,8,7,7,8,7,2,26,sociology,3,3,3,3,3,7,3,6,20,20,25,20,5,10,1,4,6,7,3,2,7,6,5,0,3
242,9,0,17,1,10,9,4,9,2,244,0,0.19,0,28,2,20,20,20,10,10,20,0,8,5,7,5,3,1,4,2,2,26,sociology,3,3,3,3,3,7,3,6,20,20,25,20,5,10,1,3,6,6,5,9,5,7,5,0,3
242,9,0,17,1,10,9,4,2,3,245,0,0.73,0,32,2,18,10,30,10,10,22,0,9,8,8,7,7,6,7,2,2,26,sociology,3,3,3,3,3,7,3,6,20,20,25,20,5,10,0,3,2,6,2,2,7,3,4,0,3
242,9,0,17,1,10,9,4,7,4,246,1,0.33,0,25,2,35,20,10,20,10,5,1,8,7,7,7,5,,7,5,2,26,sociology,3,3,3,3,3,7,3,6,20,20,25,20,5,10,1,4,8,8,6,,,6,6,0,3
242,9,0,17,1,10,9,4,5,5,247,0,-0.01,0,25,4,20,30,10,15,0,25,1,8,6,6,6,3,5,7,5,2,26,sociology,3,3,3,3,3,7,3,6,20,20,25,20,5,10,0,1,7,6,2,2,3,2,3,0,3
242,9,0,17,1,10,9,4,8,6,248,1,0.16,0,27,6,25,15,20,20,15,5,1,8,7,7,6,6,5,8,5,2,26,sociology,3,3,3,3,3,7,3,6,20,20,25,20,5,10,1,5,3,6,7,10,3,7,6,0,3
242,9,0,17,1,10,9,4,1,7,249,0,0.27,0,33,6,22,22,15,15,5,21,1,9,8,9,9,7,8,9,7,2,26,sociology,3,3,3,3,3,7,3,6,20,20,25,20,5,10,0,3,5,,6,10,,4,5,1,3
